LGA_name,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
Albury,24.7,26.9,28.5,19.9
Armidale Regional,29.4,26.6,24.2,19.7
Ballina,29.0,28.3,23.5,19.1
Balranald,27.0,29.8,29.2,13.9
Bathurst Regional,23.6,25.3,27.2,23.9
Bayside,23.7,26.2,25.8,24.3
Bega Valley,32.8,28.6,23.4,15.2
Bellingen,34.6,27.8,22.3,15.3
Berrigan,32.5,28.6,24.4,14.5
Blacktown,21.4,24.7,29.8,24.1
Bland,28.3,27.3,22.7,21.8
Blayney,26.6,24.0,26.1,23.3
Blue Mountains,26.0,23.0,23.2,27.8
Bogan,27.9,25.9,25.0,21.1
Bourke,24.5,23.1,27.8,24.6
Brewarrina,27.8,26.9,28.3,17.1
Broken Hill,24.2,24.4,26.1,25.3
Burwood,29.9,28.1,21.2,20.8
Byron,31.8,30.7,20.3,17.1
Cabonne,27.1,26.7,23.9,22.3
Camden,18.5,23.4,29.3,28.9
Campbelltown,22.9,26.9,30.5,19.7
Canada Bay,22.5,20.6,22.0,34.9
Canterbury-Bankstown,27.7,28.5,24.8,19.0
Carrathool,29.3,27.9,27.7,15.1
Central Coast,25.5,26.7,25.6,22.2
Central Darling,32.6,24.1,23.0,20.4
Cessnock,24.1,27.5,26.4,22.1
Clarence Valley,32.9,29.4,23.3,14.4
Cobar,23.9,22.1,22.0,32.0
Coffs Harbour,29.2,29.7,24.2,16.9
Coolamon,26.6,26.8,26.1,20.5
Coonamble,30.1,26.2,23.0,20.6
Cootamundra-Gundagai Regional,29.0,27.5,25.3,18.2
Cowra,31.0,29.6,25.4,14.0
Cumberland,27.6,29.4,25.1,17.9
Dubbo Regional,23.6,25.5,28.7,22.2
Dungog,28.2,26.6,23.0,22.1
Edward River,31.2,26.0,26.9,16.0
Eurobodalla,33.4,30.3,22.9,13.5
Fairfield,29.1,29.1,26.6,15.2
Federation,30.2,27.8,26.6,15.4
Forbes,27.5,27.7,25.7,19.1
Georges River,25.9,26.8,23.6,23.7
Gilgandra,33.5,26.4,23.9,16.2
Glen Innes Severn,36.5,28.3,22.7,12.5
Goulburn Mulwaree,24.0,26.5,27.4,22.1
Greater Hume Shire,27.7,27.5,26.0,18.7
Griffith,23.3,28.2,31.7,16.8
Gunnedah,25.3,24.4,24.4,25.8
Gwydir,39.7,25.1,22.6,12.5
Hawkesbury,22.0,25.6,27.3,25.1
Hay,28.9,27.3,27.9,15.9
Hilltops,29.1,28.4,25.8,16.7
Hornsby,25.4,20.7,21.3,32.7
Hunters Hill,22.0,17.5,16.5,44.0
Inner West,19.4,19.6,23.1,37.9
Inverell,30.5,29.4,26.9,13.2
Junee,25.2,26.9,27.8,20.0
Kempsey,33.6,30.1,22.9,13.4
Kiama,28.4,23.1,21.0,27.5
Ku-ring-gai,26.0,18.8,17.1,38.1
Kyogle,38.8,28.4,22.1,10.7
Lachlan,32.4,26.3,24.7,16.7
Lake Macquarie,24.7,24.7,26.1,24.5
Lane Cove,19.4,17.1,20.6,42.9
Leeton,26.3,28.3,29.2,16.2
Lismore,28.4,29.6,26.8,15.2
Lithgow,26.7,26.6,23.8,22.9
Liverpool,23.5,26.1,29.1,21.2
Liverpool Plains,31.1,28.3,23.8,16.9
Lockhart,27.7,27.8,26.4,18.1
Maitland,22.1,25.2,27.0,25.6
Mid-Coast,34.5,29.3,22.3,14.0
Mid-Western Regional,27.4,26.4,21.6,24.6
Moree Plains,26.2,25.2,28.3,20.3
Mosman,21.4,17.1,17.0,44.5
Murray River,31.2,27.1,24.5,17.3
Murrumbidgee,31.8,26.5,28.2,13.4
Muswellbrook,24.1,24.0,21.6,30.4
Nambucca,37.2,29.2,21.2,12.4
Narrabri,26.9,25.3,25.7,22.0
Narrandera,29.7,28.4,26.3,15.7
Narromine,30.3,26.4,25.2,18.1
Newcastle,23.2,23.7,25.9,27.2
North Sydney,18.2,16.1,20.3,45.4
Northern Beaches,22.1,21.7,21.3,34.9
Oberon,27.4,25.1,27.6,20.0
Orange,22.9,24.1,26.9,26.0
Parkes,28.3,25.7,24.6,21.4
Parramatta,25.0,23.5,24.5,27.0
Penrith,20.4,24.5,30.8,24.3
Port Macquarie-Hastings,31.0,28.0,23.4,17.6
Port Stephens,28.5,26.7,24.7,20.1
Queanbeyan-Palerang Regional,16.9,20.4,28.5,34.1
Randwick,21.1,20.1,22.2,36.6
Richmond Valley,29.6,32.9,25.9,11.5
Ryde,25.3,21.5,23.2,30.0
Shellharbour,23.1,26.6,26.3,24.0
Shoalhaven,29.3,28.8,24.1,17.9
Singleton,23.6,23.9,20.3,32.2
Snowy Monaro Regional,25.0,28.3,26.1,20.7
Snowy Valleys,26.1,26.8,25.7,21.4
Strathfield,24.7,26.9,24.1,24.3
Sutherland Shire,21.3,21.7,24.1,32.9
Sydney,21.7,21.0,21.8,35.4
Tamworth Regional,25.9,26.8,28.6,18.7
Temora,31.2,26.4,24.6,17.8
Tenterfield,41.8,29.0,19.4,9.9
The Hills Shire,23.1,20.4,21.8,34.7
Tweed,30.1,29.3,23.3,17.2
Upper Hunter Shire,25.8,27.1,24.1,23.0
Upper Lachlan Shire,28.2,26.1,24.5,21.2
Uralla,31.1,26.3,25.9,16.7
Wagga Wagga,22.8,25.4,29.0,22.7
Walcha,33.1,28.3,23.9,14.6
Walgett,32.7,26.5,22.2,18.5
Warren,27.8,24.8,26.4,21.0
Warrumbungle Shire,35.4,26.9,23.4,14.3
Waverley,18.6,19.7,20.4,41.3
Weddin,34.9,27.8,22.4,14.9
Wentworth,29.8,26.4,24.6,19.3
